ReviewTitle,ReviewBody,Aspects,Sentiment,GeneratedResponse
Must Have,Absolutely love! Best maternity workout leggings yet!,['* Maternity workout leggings'],"['* Strong positive sentiment: ""Absolutely love""']",Thank you for your feedback!
Fits perfect and fingerprint tab was easy to remove,Fits perfect and fingerprint tab was easy to remove,{},[],Thank you for your feedback!
Hasn't warped !,"Gave as a gift, and our daughter is thrilled.",['* Product performance (warping)'],"['* Surprise (expressed through the use of the word ""Hasn\'t warped!"", implying that the reviewer expected it to warp, but it didn\'t)']",Thank you for your feedback!
A little disappointing,So I  though they were going to be thick and fluffy... A little disappointing,['1. Thickness of the product'],['1. Disappointment (expressed twice in the review)'],Thank you for your feedback!
Really disappointed,I loved the softness of this top and it looked like it would be flattering with the model.  I wear it but only at home.  The sleeves are way too long (I got a medium) and the sides are so straight that it doesn't show any shape on me - so i wasn't willing to wear it in public.,['1. Softness'],['1. Disappointment (negative emotion)'],Thank you for your feedback!
Works great,Works great,"['* Functionality (mentioned as ""works great"")']","['* Positive (expressed through the phrase ""works great"", which is repeated twice)']",Thank you for your positive feedback!
Very cute,This bathing suit is so cute and patriotic .. love it and it fits great too,['* Cuteness'],"['* Positive sentiment towards the bathing suit\'s cuteness (""Very cute"")']",Thank you for your positive feedback!
Much prefer the loose tea to the bags,I love the quality of Vahdam teas. I prefer the loose tea to the tea bags though. I have to use two tea bags to give me the flavor and strength I desire.  It looks like perhaps 1/2 teaspoon of tea in each bag.,['1. Loose tea vs tea bags'],"['1. Positive: ""Much prefer"", ""love"", ""quality of Vahdam teas""']",Thank you for your positive feedback!
Perfect,Was exactly what I wanted,['* Fulfillment of expectations'],['* Positive'],Thank you for your positive feedback!
Fat Cat is in Bed Nirvana!!!,"This is the Plushest, Prettiest, Softest, most Cozy pet Bed Ever!!!  Best price for such luxury and beauty!!!  The ivory color even looks good in my living room!!  My Fat Cat got in it before I even decided where I would put it, and before it was totally fluffed out!!!  He owns it, if he isn't eating or peeing!!  Lazy cat is just gonna get fatter, but he Loves Me SO much for getting him this bed!! My shy sweet cat hasn't had a chance to try it yet!!!  Beautiful bed!!  Thank you!!",['1. Plushness'],['1.'],Thank you for your feedback!
Pibble-approved and pibble-proof,"My pup loves this toy, super durable and suction power is enough for a 60lb pibble. I filled it up with treats and he can entertain himself for a while. I have to literally wrestle it away from him when play time is over.","['1. Durability: The reviewer mentions that the toy is ""super durable"" and can withstand the playfulness of a 60lb pibble.']","['1. Positive: The reviewer uses positive language to describe the toy, calling it ""Pibble-approved"" and stating that their pup ""loves"" it.']",Thank you for your positive feedback!
Love it,Great product,"[""(I think) The reviewer is referring to an unnamed product. Let's assume it's the product they're reviewing.""]",['*'],Thank you for your feedback!
Leak,I was soaked.  Worthless product.  Return.,['1. Product performance (leakage)'],"['1. Negativity (soaked, worthless)']",Thank you for your feedback!
Good sweat pants for the money.,This product is as expected.,['1. Quality'],['1. Positive (Neutral with a slightly positive tone)'],Thank you for your positive feedback!
Perfect,Perfect,['* Quality/Performance'],['* Very Positive'],Thank you for your positive feedback!
Amazing humidifier!,I've been using it everyday since I bought it. Best humidifier I've ever owned!,['1. Humidifier'],['1.'],Thank you for your feedback!
Not good at all!!!!,The candy is old and is busted. No liquor inside at all. Not satisfied at all. Paid good money for nothing!!!,['* Quality of candy'],"['* Negative sentiment towards the quality of the candy: ""Not good at all!!!!"", ""The candy is old and is busted""']",We apologize for your experience. We'll work to address these issues.
great,softness,['1. Softness'],"['1. Positive (implied by the word ""great"")']",Thank you for your positive feedback!
waste of $$$,"I've probably used this vacuum around 10 times. the first few times it worked fine. then, after a few seconds of vacuuming (with a fully charged battery), it would simply power down.  It's now been nearly a year since my purchase, but these problems were happening shortly after purchase.  I completely cleaned the vacuum and cully charged the battery just to see if it was user error, but to no avail.",{},[],Thank you for your feedback!
Cheaply made,I wanted to love this purse so bad ! I actually like the shape but the front detail came scratched up and cheaply made it looks like someone hurried and super glued before it was sent to me. Even parts of the rhinestone are missing on the top. I’m sad because I wanted this for vacation two days away I’m not even able to return it,['* Quality of construction (cheaply made)'],"[""* Disappointment (wanted to love the purse, but it didn't meet expectations)""]",Thank you for your feedback!
Huge fans of these M&D puzzles,My almost 3 year old absolutely loves these puzzles!,['* M&D puzzles'],['* Positive sentiment towards M&D puzzles'],Thank you for your positive feedback!
So perfect,Great for small ears,['* Ear design (specifically suitability for small ears)'],"['* Positivity (expressed through the phrase ""So perfect"")']",Thank you for your feedback!
Fun,It was fun to put together but Took a while to put together,['1. Ease of assembly'],"['1. Positive: ""Fun"" (twice) - suggests that the reviewer enjoyed the assembly process and found it enjoyable.']",Thank you for your positive feedback!
Great product,I didn't use these as nursing pads. I used them on days I didn't feel like wearing a bra.,"['1. Product quality (implied to be ""great"")']","['1. Positive: The reviewer uses the word ""great"" to describe the product, indicating a strong positive sentiment.']",Thank you for your positive feedback!
Good Quality,Excellent shirts for the price.,['1. Quality'],"['1. Positive (sentiment towards the quality: ""Good Quality"")']",Thank you for your positive feedback!
Great Product,I use this for squats and its been perfect for challenging me. Already seeing great results!,{},[],Thank you for your feedback!
A Great Starter,"I'm new to the stationary hobby and hope to grow my collection, this has been a great purchase as it comes with just about everything you need with ample supplies to try things. Especially for being under $30, it's great.",['1. Starter set for stationery hobby'],"['1. Positive sentiment: The reviewer uses words like ""great"", ""amazing"", and ""loved"" to describe their experience with the product.']",Thank you for your positive feedback!
